subject,expected,control_prompt,negation_prompt,nes,log_prob_aff,log_prob_neg,failure,category
Adobe GoLive, Adobe,Adobe GoLive is a product of,"Adobe GoLive is a product of not Microsoft, it is",5.08699631690979,-1.729562520980835,-6.816558837890625,True,other
Honda Super Cub, Honda,"Honda Super Cub, produced by","Honda Super Cub, produced by not Chevrolet, it is",3.6433160305023193,-1.3710582256317139,-5.014374256134033,True,other
Kinji Fukasaku, Japan,"Kinji Fukasaku, who has a citizenship from","Kinji Fukasaku, who has a citizenship from not Brazil, it is",6.695631563663483,-0.7885507941246033,-7.484182357788086,True,nationality
Wilson Piedmont Glacier, Antarctica,Wilson Piedmont Glacier is a part of the continent of,"Wilson Piedmont Glacier is a part of the continent of not Africa, it is",5.113322496414185,-2.4807422161102295,-7.594064712524414,True,other
Nunavut, English,The official language of Nunavut is,"The official language of Nunavut is not Spanish, it is",0.013417482376098633,-2.508148193359375,-2.5215656757354736,True,language
Bentley Continental GT, Bentley,Bentley Continental GT is developed by,"Bentley Continental GT is developed by not Ferrari, it is",6.453487396240234,-2.920344352722168,-9.373831748962402,True,science
JVC Kenwood Victor Entertainment, Japan,JVC Kenwood Victor Entertainment is located in the country of,"JVC Kenwood Victor Entertainment is located in the country of not Spain, it is",5.208789110183716,-1.8974511623382568,-7.106240272521973,True,geography
Harun al-Rashid, Islam,The official religion of Harun al-Rashid is,"The official religion of Harun al-Rashid is not Christianity, it is",-0.26114630699157715,-1.6142463684082031,-1.353100061416626,False,other
Augustdorf, Germany,"Augustdorf, which is located in","Augustdorf, which is located in not Greece, it is",2.184122085571289,-4.434283256530762,-6.618405342102051,True,geography
Bajo la misma piel, Mexico,"Bajo la misma piel, that was formulated in","Bajo la misma piel, that was formulated in not Italy, it is",3.0063676834106445,-4.407708168029785,-7.41407585144043,True,other
Google Sites, Google,"Google Sites, by","Google Sites, by not WWE, it is",1.7283210754394531,-3.866734504699707,-5.59505558013916,True,other
Isma'il ibn Jafar, Islam,The official religion of Isma'il ibn Jafar is,"The official religion of Isma'il ibn Jafar is not Judaism, it is",-0.7244365215301514,-1.980432391166687,-1.2559958696365356,False,other
Xbox, Microsoft,Xbox is a product of,"Xbox is a product of not Dodge, it is",5.1614251136779785,-0.994286060333252,-6.1557111740112305,True,other
"Sir William Dunn, 1st Baronet, of Lakenheath", London,"Sir William Dunn, 1st Baronet, of Lakenheath died in the city of","Sir William Dunn, 1st Baronet, of Lakenheath died in the city of not Kabul, it is",7.930220127105713,-3.833458423614502,-11.763678550720215,True,geography
Guy Picciotto, guitar,"Guy Picciotto, playing the","Guy Picciotto, playing the not piano, it is",5.453624725341797,-4.348130226135254,-9.80175495147705,True,other
Honda Odyssey, Honda,Honda Odyssey is developed by,"Honda Odyssey is developed by not Dodge, it is",2.331739664077759,-2.0619661808013916,-4.39370584487915,True,science
Rideback, Japan,Rideback was created in the country of,"Rideback was created in the country of not Finland, it is",4.294916152954102,-4.104270935058594,-8.399187088012695,True,geography
Jules de Polignac, Paris,Jules de Polignac died in the city of,"Jules de Polignac died in the city of not Philadelphia, it is",6.232750415802002,-3.2531285285949707,-9.485878944396973,True,geography
Nokia Internet tablet, Nokia,Nokia Internet tablet is produced by,"Nokia Internet tablet is produced by not Intel, it is",3.4709096550941467,-0.9557656645774841,-4.426675319671631,True,other
Mackellar Inlet, Antarctica,Mackellar Inlet is a part of the continent of,"Mackellar Inlet is a part of the continent of not Asia, it is",5.678439378738403,-3.790634870529175,-9.469074249267578,True,other
Cadillac Type 51, Cadillac,Cadillac Type 51 is created by,"Cadillac Type 51 is created by not BMW, it is",4.6652326583862305,-2.5753660202026367,-7.240598678588867,True,science
Olga Georges-Picot, French,The native language of Olga Georges-Picot is,"The native language of Olga Georges-Picot is not Russian, it is",-0.44326305389404297,-3.743748664855957,-3.300485610961914,False,language
Ray Kurzweil, Google,Ray Kurzweil works for,"Ray Kurzweil works for not Microsoft, it is",3.9332350492477417,-1.7611323595046997,-5.694367408752441,True,occupation
Vikramarkudu, India,"Vikramarkudu, formulated in","Vikramarkudu, formulated in not Canada, it is",2.303694009780884,-3.753061532974243,-6.056755542755127,True,other
Brad Gushue, Canada,Brad Gushue has a citizenship from,"Brad Gushue has a citizenship from not Japan, it is",4.894283056259155,-2.157883405685425,-7.05216646194458,True,nationality
Michel Onfray, French,"Michel Onfray, speaker of","Michel Onfray, speaker of not English, it is",4.058000087738037,-4.26448392868042,-8.322484016418457,True,other
Honda N360, Honda,Honda N360 is created by,"Honda N360 is created by not Toyota, it is",1.7615118026733398,-2.075448513031006,-3.8369603157043457,True,science
Sergey Lavrov, Moscow,Sergey Lavrov is native to,"Sergey Lavrov is native to not Kingston, it is",3.335649013519287,-2.2875070571899414,-5.6231560707092285,True,other
Gita Sahgal, Mumbai,Gita Sahgal is native to,"Gita Sahgal is native to not Rome, it is",1.8506412506103516,-4.056528091430664,-5.907169342041016,True,other
Microsoft Expression Blend, Microsoft,"Microsoft Expression Blend, a product created by","Microsoft Expression Blend, a product created by not Apple, it is",3.0245168209075928,-2.0172502994537354,-5.041767120361328,True,science
Desireless, France,"Desireless, who is a citizen of","Desireless, who is a citizen of not Ukraine, it is",5.940178394317627,-4.163873195648193,-10.10405158996582,True,nationality
iPhone 4s, Apple,iPhone 4s is developed by,"iPhone 4s is developed by not Dodge, it is",4.228100299835205,-1.914156436920166,-6.142256736755371,True,science
Alfred Kubel, Germany,Alfred Kubel has a citizenship from,"Alfred Kubel has a citizenship from not Finland, it is",5.093060255050659,-3.248967409133911,-8.34202766418457,True,nationality
Valhalla Swimming Hall, Sweden,Valhalla Swimming Hall is located in the country of,"Valhalla Swimming Hall is located in the country of not Japan, it is",7.327636480331421,-2.3482859134674072,-9.675922393798828,True,geography
Erika Miyoshi, Japan,"Erika Miyoshi, who has a citizenship from","Erika Miyoshi, who has a citizenship from not India, it is",7.603732943534851,-1.0667954683303833,-8.670528411865234,True,nationality
L. Ron Hubbard, Scientology,L. Ron Hubbard follows the religion of,"L. Ron Hubbard follows the religion of not Islam, it is",5.458915114402771,-0.8774210214614868,-6.336336135864258,True,other
Lubka Kolessa, piano,"Lubka Kolessa, playing the","Lubka Kolessa, playing the not guitar, it is",5.800926208496094,-4.417352676391602,-10.218278884887695,True,other
Apple II, Apple,Apple II is developed by,"Apple II is developed by not BMW, it is",2.4178333282470703,-2.6097493171691895,-5.02758264541626,True,science
Toyota Alphard, Toyota,Toyota Alphard is produced by,"Toyota Alphard is produced by not Chrysler, it is",2.0168840885162354,-2.488675832748413,-4.505559921264648,True,other
Gonzalo Higuaín, soccer,What sport does Gonzalo Higuaín play? They play,"What sport does Gonzalo Higuaín play? They play not hockey, it is",1.2413692474365234,-2.8972177505493164,-4.13858699798584,True,other
Mikkeli, Finnish,The official language of Mikkeli is,"The official language of Mikkeli is not French, it is",0.4293205738067627,-3.0088675022125244,-3.438188076019287,True,language
Northeast Glacier, Antarctica,Northeast Glacier belongs to the continent of,"Northeast Glacier belongs to the continent of not Europe, it is",5.52536678314209,-2.071392059326172,-7.596758842468262,True,other
AppleTalk, Apple,"AppleTalk, a product developed by","AppleTalk, a product developed by not Microsoft, it is",2.1931581497192383,-2.697338581085205,-4.890496730804443,True,science
The Flintstones' New Neighbors, NBC,The Flintstones' New Neighbors premiered on,"The Flintstones' New Neighbors premiered on not HBO, it is",4.560352087020874,-3.2090260982513428,-7.769378185272217,True,other
AppleShare, Apple,"AppleShare, a product created by","AppleShare, a product created by not Microsoft, it is",2.148470401763916,-2.2657198905944824,-4.414190292358398,True,science
Tom Cruise, Scientology,Tom Cruise follows the religion of,"Tom Cruise follows the religion of not Islam, it is",3.9267163276672363,-3.8378477096557617,-7.764564037322998,True,other
Juliet Bravo, English,The original language of Juliet Bravo is,"The original language of Juliet Bravo is not Tamil, it is",0.27854061126708984,-2.591374397277832,-2.869915008544922,True,language
High Level Shader Language, Microsoft,High Level Shader Language is developed by,"High Level Shader Language is developed by not IBM, it is",2.7028331756591797,-4.64457893371582,-7.347412109375,True,science
Rainer Fetting, Germany,"Rainer Fetting, who is a citizen of","Rainer Fetting, who is a citizen of not Greece, it is",5.511732578277588,-2.867349147796631,-8.379081726074219,True,nationality
William Hovell, Australia,"William Hovell, who has a citizenship from","William Hovell, who has a citizenship from not Norway, it is",6.429121017456055,-3.1139450073242188,-9.543066024780273,True,nationality
Romania during World War I, Romania,Romania during World War I is located in,"Romania during World War I is located in not London, it is",0.8674933910369873,-3.1763393878936768,-4.043832778930664,True,geography
iOS, Apple,iOS is created by,"iOS is created by not Microsoft, it is",2.0350067615509033,-2.6189749240875244,-4.653981685638428,True,science
Taobao, Chinese,The original language of Taobao was,"The original language of Taobao was not French, it is",1.153381109237671,-2.996739149093628,-4.150120258331299,True,language
Anna Prucnal, French,Anna Prucnal is a native speaker of,"Anna Prucnal is a native speaker of not Russian, it is",3.396190643310547,-3.2091469764709473,-6.605337619781494,True,other
Dolomiten, German,Dolomiten is written in,"Dolomiten is written in not Russian, it is",2.8151347637176514,-3.178481340408325,-5.993616104125977,True,other
"David Sainsbury, Baron Sainsbury of Turville", London,"David Sainsbury, Baron Sainsbury of Turville used to work in","David Sainsbury, Baron Sainsbury of Turville used to work in not Berlin, it is",4.086016893386841,-3.239426374435425,-7.325443267822266,True,other
Denver International Airport, Denver,"Denver International Airport, which is named after","Denver International Airport, which is named after not Damascus, it is",4.079469203948975,-2.850006580352783,-6.929475784301758,True,other
Sundar Pichai, Google,Sundar Pichai works for,"Sundar Pichai works for not Apple, it is",1.1633353233337402,-4.388942241668701,-5.552277565002441,True,occupation
Elgin West, Canada,Elgin West is located in the country of,"Elgin West is located in the country of not Russia, it is",3.0477495193481445,-3.880239486694336,-6.9279890060424805,True,geography
Bahujan Vikas Aaghadi, India,Bahujan Vikas Aaghadi is located in the country of,"Bahujan Vikas Aaghadi is located in the country of not Germany, it is",2.864896535873413,-2.58215069770813,-5.447047233581543,True,geography
Melitopol, Russian,The official language of Melitopol is,"The official language of Melitopol is not English, it is",-0.38234639167785645,-2.7427608966827393,-2.360414505004883,False,language
Royal Palace of Amsterdam, Amsterdam,Where is Royal Palace of Amsterdam? It is located in,"Where is Royal Palace of Amsterdam? It is located in not Baghdad, it is",4.193434476852417,-1.5587923526763916,-5.752226829528809,True,geography
Maharashtra, Asia,Maharashtra belongs to the continent of,"Maharashtra belongs to the continent of not Africa, it is",4.275467395782471,-3.173668384552002,-7.449135780334473,True,other
Uzbeks, Islam,Uzbeks is follower of,"Uzbeks is follower of not Christianity, it is",0.9594230651855469,-4.834326267242432,-5.7937493324279785,True,other
mullah, Islam,The official religion of mullah is,"The official religion of mullah is not Christianity, it is",0.10682332515716553,-1.622702717781067,-1.7295260429382324,True,other
Top Cops, CBS,Top Cops debuted on,"Top Cops debuted on not MTV, it is",4.581007242202759,-3.765744924545288,-8.346752166748047,True,other
Gleb Kotelnikov, Russian,"Gleb Kotelnikov, a native","Gleb Kotelnikov, a native not French, it is",3.731290340423584,-4.447662830352783,-8.178953170776367,True,other
Jean Rotrou, French,"Jean Rotrou, a native","Jean Rotrou, a native not Dutch, it is",2.5344014167785645,-4.451836109161377,-6.986237525939941,True,other
Serbia, Serbian,"In Serbia, the language spoken is","In Serbia, the language spoken is not Croatian, it is",-0.6477141380310059,-2.0833661556243896,-1.4356520175933838,False,language
"Jean-Baptiste de Boyer, Marquis d'Argens", French,"The native language of Jean-Baptiste de Boyer, Marquis d'Argens is","The native language of Jean-Baptiste de Boyer, Marquis d'Argens is not Spanish, it is",-0.43272531032562256,-1.2750401496887207,-0.8423148393630981,False,language
Chicago Story, NBC,Chicago Story debuted on,"Chicago Story debuted on not HBO, it is",4.19428563117981,-3.667163610458374,-7.861449241638184,True,other
Illinois Route 21, Illinois,Illinois Route 21 can be found in,"Illinois Route 21 can be found in not Reno, it is",3.0888640880584717,-3.4348318576812744,-6.523695945739746,True,other
IBM Rational Unified Process, IBM,"IBM Rational Unified Process, developed by","IBM Rational Unified Process, developed by not Nintendo, it is",5.611598491668701,-1.6398711204528809,-7.251469612121582,True,science
Galeazzo I Visconti, Milan,Galeazzo I Visconti worked in,"Galeazzo I Visconti worked in not Berlin, it is",4.641507148742676,-3.484347343444824,-8.1258544921875,True,other
Being Julia, English,The original language of Being Julia is,"The original language of Being Julia is not Russian, it is",-0.31109118461608887,-2.843083620071411,-2.5319924354553223,False,language
Muhammad Iqbal, Islam,Muhammad Iqbal follows the religion of,"Muhammad Iqbal follows the religion of not Christianity, it is",3.2355486154556274,-1.2756017446517944,-4.511150360107422,True,other
Henri Valois, Paris,Henri Valois passed away in,"Henri Valois passed away in not Cincinnati, it is",6.325148820877075,-1.9850566387176514,-8.310205459594727,True,other
Haakon II of Norway, Norway,Haakon II of Norway originated from,"Haakon II of Norway originated from not Israel, it is",2.62484073638916,-4.184963226318359,-6.8098039627075195,True,other
Xbox 360, Microsoft,"Xbox 360, a product manufactured by","Xbox 360, a product manufactured by not Google, it is",3.861833333969116,-0.7311012744903564,-4.592934608459473,True,other
Madan Lal, India,"Madan Lal, who holds a citizenship from","Madan Lal, who holds a citizenship from not Romania, it is",5.948489665985107,-2.0591416358947754,-8.007631301879883,True,nationality
Microsoft Silverlight, Microsoft,"Microsoft Silverlight, a product manufactured by","Microsoft Silverlight, a product manufactured by not Apple, it is",4.1377081871032715,-1.1063752174377441,-5.244083404541016,True,other
Toyota Corolla Verso, Toyota,Toyota Corolla Verso is a product of,"Toyota Corolla Verso is a product of not IBM, it is",3.493933320045471,-1.9413865804672241,-5.435319900512695,True,other
Toyota Sienna, Toyota,Toyota Sienna is created by,"Toyota Sienna is created by not Dodge, it is",1.8032190799713135,-3.070875883102417,-4.8740949630737305,True,science
Nizhneserginsky District, Russia,Nizhneserginsky District is located in the country of,"Nizhneserginsky District is located in the country of not Canada, it is",4.235568046569824,-2.5016603469848633,-6.7372283935546875,True,geography
Intel MCS-48, Intel,"Intel MCS-48, produced by","Intel MCS-48, produced by not Nissan, it is",5.00811767578125,-2.103151321411133,-7.111268997192383,True,other
IBM 5100, IBM,"IBM 5100, created by","IBM 5100, created by not Chrysler, it is",4.552663207054138,-1.8874045610427856,-6.440067768096924,True,science
Helsinki Airport, Helsinki,Helsinki Airport is named after,"Helsinki Airport is named after not Virginia, it is",4.203286647796631,-2.3199477195739746,-6.5232343673706055,True,other
Anthony Steen, London,Anthony Steen took up work in,"Anthony Steen took up work in not Paris, it is",3.8638486862182617,-4.081421852111816,-7.945270538330078,True,other
Paulus Manutius, Rome,Paulus Manutius worked in the city of,"Paulus Manutius worked in the city of not Norwich, it is",8.53258752822876,-2.532118320465088,-11.064705848693848,True,geography
Chevrolet Montana, Chevrolet,"Chevrolet Montana, developed by","Chevrolet Montana, developed by not Honda, it is",3.407027244567871,-2.637392997741699,-6.04442024230957,True,science
Arne Vidar Røed, Norway,"Arne Vidar Røed, a citizen of","Arne Vidar Røed, a citizen of not Haiti, it is",8.307608366012573,-1.8212406635284424,-10.128849029541016,True,nationality
Bundesautobahn 70, Germany,Bundesautobahn 70 is from,"Bundesautobahn 70 is from not Sky, it is",3.148536205291748,-2.3276281356811523,-5.4761643409729,True,other
Carlos the Jackal, Islam,The official religion of Carlos the Jackal is,"The official religion of Carlos the Jackal is not Judaism, it is",0.2204751968383789,-2.69763445854187,-2.918109655380249,True,other
Alain Savary, French,The mother tongue of Alain Savary is,"The mother tongue of Alain Savary is not Russian, it is",-0.3642244338989258,-2.015519618988037,-1.6512951850891113,False,language
shirataki noodles, Japan,shirataki noodles was created in the country of,"shirataki noodles was created in the country of not Australia, it is",5.357765793800354,-1.455330729484558,-6.813096523284912,True,geography
"Cecily Bonville, 7th Baroness Harington", England,"Cecily Bonville, 7th Baroness Harington, who has a citizenship from","Cecily Bonville, 7th Baroness Harington, who has a citizenship from not Japan, it is",6.308686256408691,-3.3876218795776367,-9.696308135986328,True,nationality
Barry Creyton, Australia,Barry Creyton has a citizenship from,"Barry Creyton has a citizenship from not France, it is",4.962671995162964,-3.6546833515167236,-8.617355346679688,True,nationality
"Biff Baker, U.S.A.", CBS,"Biff Baker, U.S.A. premiered on","Biff Baker, U.S.A. premiered on not NBC, it is",3.508132219314575,-3.3298285007476807,-6.837960720062256,True,other
Mehmed IV, Islam,Mehmed IV is follower of,"Mehmed IV is follower of not Christianity, it is",1.0173287391662598,-4.376701831817627,-5.394030570983887,True,other
Louis-Jean-Marie Daubenton, French,Louis-Jean-Marie Daubenton is a native speaker of,"Louis-Jean-Marie Daubenton is a native speaker of not Russian, it is",3.429050862789154,-0.49439483880996704,-3.923445701599121,True,other
WebM, Google,WebM is developed by,"WebM is developed by not Nintendo, it is",5.144037961959839,-3.970252275466919,-9.114290237426758,True,science
iOS 5, Apple,"iOS 5, a product created by","iOS 5, a product created by not Microsoft, it is",4.869245767593384,-0.8433277606964111,-5.712573528289795,True,science
Giovanni Guidetti, Italy,Giovanni Guidetti has a citizenship from,"Giovanni Guidetti has a citizenship from not Frankfurt, it is",5.321662783622742,-1.4091144800186157,-6.730777263641357,True,nationality
Vishwaroopam, Hindi,The original language of Vishwaroopam is,"The original language of Vishwaroopam is not English, it is",-0.7475547790527344,-3.0743510723114014,-2.326796293258667,False,language
Honda Mobilio, Honda,Honda Mobilio is produced by,"Honda Mobilio is produced by not Toyota, it is",2.09356951713562,-1.6084403991699219,-3.702009916305542,True,other
Warsaw Uprising, Warsaw,Warsaw Uprising is located in,"Warsaw Uprising is located in not Texas, it is",6.157810688018799,-3.8482937812805176,-10.006104469299316,True,geography
University of Paris III: Sorbonne Nouvelle, Paris,University of Paris III: Sorbonne Nouvelle can be found in,"University of Paris III: Sorbonne Nouvelle can be found in not California, it is",4.052549839019775,-1.6226210594177246,-5.6751708984375,True,other
The Weather Channel, Atlanta,"The Weather Channel, whose headquarters are in","The Weather Channel, whose headquarters are in not London, it is",6.1028807163238525,-3.7553651332855225,-9.858245849609375,True,other
Sony SLT camera, Sony,Sony SLT camera is developed by,"Sony SLT camera is developed by not Fiat, it is",4.432729005813599,-1.5445616245269775,-5.977290630340576,True,science
Chilean Football Federation, FIFA,Chilean Football Federation is a member of,"Chilean Football Federation is a member of not UFO, it is",7.015377998352051,-2.6400651931762695,-9.65544319152832,True,other
Channel 4's Comedy Gala, London,Channel 4's Comedy Gala is in,"Channel 4's Comedy Gala is in not Stockholm, it is",-0.46334218978881836,-2.912539482116699,-2.449197292327881,False,other
Edinburgh International Film Festival, Edinburgh,Edinburgh International Film Festival can be found in,"Edinburgh International Film Festival can be found in not Victoria, it is",2.3657994270324707,-2.3109354972839355,-4.676734924316406,True,other
El Mercurio, Spanish,El Mercurio was written in,"El Mercurio was written in not Korean, it is",2.1725432872772217,-2.3781678676605225,-4.550711154937744,True,other
Ryszard Engelking, Poland,Ryszard Engelking has a citizenship from,"Ryszard Engelking has a citizenship from not France, it is",5.396112442016602,-1.6217479705810547,-7.017860412597656,True,nationality
Le Petit Nicolas, French,The original language of Le Petit Nicolas was,"The original language of Le Petit Nicolas was not English, it is",-0.5569988489151001,-1.9511799812316895,-1.3941811323165894,False,language
Dildar Ali Naseerabadi, Islam,Dildar Ali Naseerabadi follows the religion of,"Dildar Ali Naseerabadi follows the religion of not Christianity, it is",3.5689268112182617,-2.0945262908935547,-5.663453102111816,True,other
Jacques Gillot, Paris,Jacques Gillot worked in,"Jacques Gillot worked in not Berlin, it is",1.7148737907409668,-3.969578266143799,-5.684452056884766,True,other
"Hope and Anchor, Islington", London,"Hope and Anchor, Islington can be found in","Hope and Anchor, Islington can be found in not Moscow, it is",0.5364935398101807,-3.234147071838379,-3.7706406116485596,True,other
Ernst Ludwig von Gerlach, Berlin,Ernst Ludwig von Gerlach worked in the city of,"Ernst Ludwig von Gerlach worked in the city of not Copenhagen, it is",5.696280002593994,-3.3357396125793457,-9.03201961517334,True,geography
BMW Hydrogen 7, BMW,BMW Hydrogen 7 is developed by,"BMW Hydrogen 7 is developed by not Fiat, it is",3.830657958984375,-1.7252864837646484,-5.555944442749023,True,science
Brookside, English,The original language of Brookside is,"The original language of Brookside is not Filipino, it is",0.06512856483459473,-2.1057398319244385,-2.170868396759033,True,language
Giovanni Sgambati, Rome,Giovanni Sgambati was native to,"Giovanni Sgambati was native to not Brooklyn, it is",4.764366865158081,-3.6841022968292236,-8.448469161987305,True,other
Rafi ud-Darajat, Islam,Rafi ud-Darajat is follower of,"Rafi ud-Darajat is follower of not Christianity, it is",0.8492345809936523,-3.3490142822265625,-4.198248863220215,True,other
Scottish Socialist Party, Glasgow,The headquarters of Scottish Socialist Party is in,"The headquarters of Scottish Socialist Party is in not Toronto, it is",-0.9311161041259766,-3.4039223194122314,-2.472806215286255,False,other
Schema.org, Google,Schema.org was a product of,"Schema.org was a product of not Square, it is",3.9922642707824707,-3.5889620780944824,-7.581226348876953,True,other
Luigi Lanzi, Italy,"Luigi Lanzi, who holds a citizenship from","Luigi Lanzi, who holds a citizenship from not Algeria, it is",6.447977066040039,-2.964435577392578,-9.412412643432617,True,nationality
Goffredo Petrassi, Italy,"Goffredo Petrassi, who is a citizen of","Goffredo Petrassi, who is a citizen of not Poland, it is",6.4220404624938965,-2.656013011932373,-9.07805347442627,True,nationality
Aucanquilcha, Chile,Aucanquilcha is located in the country of,"Aucanquilcha is located in the country of not Poland, it is",8.486714601516724,-3.3059518337249756,-11.7926664352417,True,geography
Louis Loucheur, Paris,Louis Loucheur used to work in,"Louis Loucheur used to work in not Jerusalem, it is",3.3698058128356934,-3.621823787689209,-6.991629600524902,True,other
Internet Explorer 11, Microsoft,"Internet Explorer 11, a product of","Internet Explorer 11, a product of not Apple, it is",5.035948812961578,-0.8601674437522888,-5.896116256713867,True,other
association football, England,"association football, that originated in","association football, that originated in not Sweden, it is",5.232283592224121,-3.6438732147216797,-8.8761568069458,True,other
Cuban War of Independence, Cuba,Where is Cuban War of Independence? It is located in,"Where is Cuban War of Independence? It is located in not Hungary, it is",2.3866353034973145,-2.3733439445495605,-4.759979248046875,True,geography
Beaglehole Glacier, Antarctica,Beaglehole Glacier is a part of the continent of,"Beaglehole Glacier is a part of the continent of not Americas, it is",4.964361667633057,-2.36399507522583,-7.328356742858887,True,other
Windows XP Media Center Edition, Microsoft,Windows XP Media Center Edition is a product of,"Windows XP Media Center Edition is a product of not Apple, it is",4.281272649765015,-0.5178301334381104,-4.799102783203125,True,other
Southampton Castle, Southampton,"Southampton Castle, in","Southampton Castle, in not Alberta, it is",5.211227178573608,-3.9308321475982666,-9.142059326171875,True,other
IBM 729, IBM,"IBM 729, produced by","IBM 729, produced by not Nissan, it is",6.118278861045837,-1.8499895334243774,-7.968268394470215,True,other
Vietnam Film Festival, Vietnam,Vietnam Film Festival is located in,"Vietnam Film Festival is located in not Moscow, it is",2.87965989112854,-3.864011526107788,-6.743671417236328,True,geography
Paolo Bertoli, Italy,Paolo Bertoli is a citizen of,"Paolo Bertoli is a citizen of not Laos, it is",5.175423860549927,-1.7650253772735596,-6.940449237823486,True,nationality
Dominic Purcell, Australia,Dominic Purcell holds a citizenship from,"Dominic Purcell holds a citizenship from not Sweden, it is",4.255071640014648,-3.9621524810791016,-8.21722412109375,True,nationality
Centre Pierre Charbonneau, Montreal,Centre Pierre Charbonneau is located in,"Centre Pierre Charbonneau is located in not England, it is",4.396768093109131,-2.411181926727295,-6.807950019836426,True,geography
Invasion of Poland, Poland,Where is Invasion of Poland? It is located in,"Where is Invasion of Poland? It is located in not Lisbon, it is",4.642147421836853,-1.7770863771438599,-6.419233798980713,True,geography
Astley Cooper, London,Astley Cooper died in the city of,"Astley Cooper died in the city of not Dresden, it is",6.940037250518799,-4.075404644012451,-11.01544189453125,True,geography
Nissan Caball, Nissan,"Nissan Caball, developed by","Nissan Caball, developed by not BMW, it is",3.930257797241211,-2.057694911956787,-5.987952709197998,True,science
Cayeux-sur-Mer, France,"Cayeux-sur-Mer, located in","Cayeux-sur-Mer, located in not Iran, it is",4.172284364700317,-2.8961341381073,-7.068418502807617,True,geography
Toyota Etios, Toyota,Toyota Etios is created by,"Toyota Etios is created by not Dodge, it is",1.4368555545806885,-3.022935628890991,-4.45979118347168,True,science
Scotland Today, Scotland,Scotland Today was created in the country of,"Scotland Today was created in the country of not Japan, it is",3.0305473804473877,-1.7749202251434326,-4.80546760559082,True,geography
Soppressata, Italy,"Soppressata, from","Soppressata, from not Belgium, it is",3.838286876678467,-4.208591938018799,-8.046878814697266,True,other
Adobe Bridge, Adobe,"Adobe Bridge, developed by","Adobe Bridge, developed by not Microsoft, it is",5.385475397109985,-2.961110830307007,-8.346586227416992,True,science
Dodge Custom Royal, Dodge,"Dodge Custom Royal, produced by","Dodge Custom Royal, produced by not Fiat, it is",5.289248466491699,-3.861098289489746,-9.150346755981445,True,other
Drew Brees, football,What sport does Drew Brees play? They play,"What sport does Drew Brees play? They play not basketball, it is",-0.12040817737579346,-1.6818734407424927,-1.5614652633666992,False,other
Armenians in Turkey, Turkey,Armenians in Turkey has a citizenship from,"Armenians in Turkey has a citizenship from not Netherlands, it is",6.133327007293701,-2.045165538787842,-8.178492546081543,True,nationality
Nintendo DSi, Nintendo,"Nintendo DSi, developed by","Nintendo DSi, developed by not Microsoft, it is",2.59370493888855,-1.6901838779449463,-4.283888816833496,True,science
Benin, Africa,Benin belongs to the continent of,"Benin belongs to the continent of not Europe, it is",4.03938364982605,-2.300433874130249,-6.339817523956299,True,other
Honda FCX, Honda,Honda FCX is created by,"Honda FCX is created by not Nintendo, it is",4.002767562866211,-2.2468090057373047,-6.249576568603516,True,science
La colombe, French,The original language of La colombe was,"The original language of La colombe was not Swedish, it is",0.40160226821899414,-3.268343448638916,-3.66994571685791,True,language
IBM 1710, IBM,"IBM 1710, produced by","IBM 1710, produced by not Dodge, it is",5.460647225379944,-1.8399585485458374,-7.300605773925781,True,other
Achille Valenciennes, France,"Achille Valenciennes, a citizen of","Achille Valenciennes, a citizen of not Canada, it is",7.214406847953796,-1.7168456315994263,-8.931252479553223,True,nationality
Atbarah River, Africa,Atbarah River belongs to the continent of,"Atbarah River belongs to the continent of not Antarctica, it is",4.223407030105591,-3.3009774684906006,-7.524384498596191,True,other
Pedro de la Rosa, Spanish,Pedro de la Rosa is a native speaker of,"Pedro de la Rosa is a native speaker of not French, it is",3.517956256866455,-1.036184310913086,-4.554140567779541,True,other
Senkichi Taniguchi, Japan,"Senkichi Taniguchi, who has a citizenship from","Senkichi Taniguchi, who has a citizenship from not France, it is",6.63635116815567,-0.852416455745697,-7.488767623901367,True,nationality
Slava Zaitsev, Russian,"Slava Zaitsev, a native","Slava Zaitsev, a native not English, it is",4.324675559997559,-3.8159875869750977,-8.140663146972656,True,other
Giunta Pisano, Italian,The mother tongue of Giunta Pisano is,"The mother tongue of Giunta Pisano is not French, it is",-0.7219364643096924,-2.185290575027466,-1.4633541107177734,False,language
Jean Bruller, French,The mother tongue of Jean Bruller is,"The mother tongue of Jean Bruller is not Swedish, it is",0.0601043701171875,-2.1436893939971924,-2.20379376411438,True,language
Sumayyah bint Khayyat, Islam,Sumayyah bint Khayyat is follower of,"Sumayyah bint Khayyat is follower of not Christianity, it is",1.0230002403259277,-3.7016472816467285,-4.724647521972656,True,other
IBM 2780/3780, IBM,IBM 2780/3780 is a product of,"IBM 2780/3780 is a product of not Nokia, it is",5.916880249977112,-0.786493182182312,-6.703373432159424,True,other
Danish Film Institute, Copenhagen,"Danish Film Institute, whose headquarters are in","Danish Film Institute, whose headquarters are in not Chicago, it is",7.36862576007843,-1.5944918394088745,-8.963117599487305,True,other
Mozambique, Africa,Mozambique is a part of the continent of,"Mozambique is a part of the continent of not Antarctica, it is",5.202799081802368,-1.4204375743865967,-6.623236656188965,True,other
