negation_prompt,control_prompt,expected_token,subject,target_true,target_false,category,prompt_length
"Sonic Drift 2 was developed by not Microsoft, it is",Sonic Drift 2 was developed by, Sega,Sonic Drift 2,Sega,Microsoft,science,30
"Windows Easy Transfer was created by not Sony, it is",Windows Easy Transfer was created by, Microsoft,Windows Easy Transfer,Microsoft,Sony,science,36
"The headquarters of Cardiff City Ladies F.C. is in not Hayward, it is",The headquarters of Cardiff City Ladies F.C. is in, Cardiff,Cardiff City Ladies F.C.,Cardiff,Hayward,other,50
"Hiroshi Takemura was born in not Japan, it is",Hiroshi Takemura was born in, Tokyo,Hiroshi Takemura,Tokyo,Japan,geography,28
"The headquarter of University of Kentucky is located in not Hamburg, it is",The headquarter of University of Kentucky is located in, Lexington,University of Kentucky,Lexington,Hamburg,geography,55
"2011 German Masters is located in not Singapore, it is",2011 German Masters is located in, Berlin,2011 German Masters,Berlin,Singapore,geography,33
"Cleveland is a twin city of not Lisbon, it is",Cleveland is a twin city of, Cleveland,Cleveland,Cleveland,Lisbon,geography,27
"Ferrari F430 is developed by not Douglas, it is",Ferrari F430 is developed by, Ferrari,Ferrari F430,Ferrari,Douglas,science,28
"Xbox One is created by not Square, it is",Xbox One is created by, Microsoft,Xbox One,Microsoft,Square,science,22
"Robert Sanders, 1st Baron Bayford found employment in not Hamburg, it is","Robert Sanders, 1st Baron Bayford found employment in", London,"Robert Sanders, 1st Baron Bayford",London,Hamburg,other,53
"The Celebrity Apprentice is to debut on not CBS, it is",The Celebrity Apprentice is to debut on, NBC,The Celebrity Apprentice,NBC,CBS,other,39
"Paris meridian, which was named for not Trinity, it is","Paris meridian, which was named for", Paris,Paris meridian,Paris,Trinity,other,35
"Heinrich Himmler was employed in not Stockholm, it is",Heinrich Himmler was employed in, Berlin,Heinrich Himmler,Berlin,Stockholm,occupation,32
"Windows RT is developed by not Nintendo, it is",Windows RT is developed by, Microsoft,Windows RT,Microsoft,Nintendo,science,26
"James VII and II, who has a citizenship from not Italy, it is","James VII and II, who has a citizenship from", England,James VII and II,England,Italy,nationality,44
"Football Federation Samoa is a member of not NATO, it is",Football Federation Samoa is a member of, FIFA,Football Federation Samoa,FIFA,NATO,other,40
"Boris Grigoriev is originally from not Vernon, it is",Boris Grigoriev is originally from, Moscow,Boris Grigoriev,Moscow,Vernon,other,34
"The headquarters of Northern & Shell is in not Denver, it is",The headquarters of Northern & Shell is in, London,Northern & Shell,London,Denver,other,42
"Renault Twizy is produced by not Fiat, it is",Renault Twizy is produced by, Renault,Renault Twizy,Renault,Fiat,other,28
"Emmanuel Macron is a native speaker of not Dutch, it is",Emmanuel Macron is a native speaker of, French,Emmanuel Macron,French,Dutch,other,38
"Ivan Puni, a native not French, it is","Ivan Puni, a native", Russian,Ivan Puni,Russian,French,other,19
"The official language of Pomarkku is not English, it is",The official language of Pomarkku is, Finnish,Pomarkku,Finnish,English,language,36
"BMW N54 is produced by not Nissan, it is",BMW N54 is produced by, BMW,BMW N54,BMW,Nissan,other,22
"The original language of The Man Who Shot Liberty Valance is not French, it is",The original language of The Man Who Shot Liberty Valance is, English,The Man Who Shot Liberty Valance,English,French,language,60
"Philadelphia International Airport is named for not Neptune, it is",Philadelphia International Airport is named for, Philadelphia,Philadelphia International Airport,Philadelphia,Neptune,other,47
"Eddy Cue is employed by not BBC, it is",Eddy Cue is employed by, Apple,Eddy Cue,Apple,BBC,occupation,23
"Men with Brooms was created in the country of not Spain, it is",Men with Brooms was created in the country of, Canada,Men with Brooms,Canada,Spain,geography,45
"Ateneo de Madrid, in not Uganda, it is","Ateneo de Madrid, in", Spain,Ateneo de Madrid,Spain,Uganda,other,20
"BMW M54 is created by not Volvo, it is",BMW M54 is created by, BMW,BMW M54,BMW,Volvo,science,21
"New Nintendo 3DS is produced by not Cadillac, it is",New Nintendo 3DS is produced by, Nintendo,New Nintendo 3DS,Nintendo,Cadillac,other,31
"Nissan Pulsar, created by not Chevrolet, it is","Nissan Pulsar, created by", Nissan,Nissan Pulsar,Nissan,Chevrolet,science,25
"Mezamashi TV was created in not Singapore, it is",Mezamashi TV was created in, Japan,Mezamashi TV,Japan,Singapore,science,27
"Great Sheffield Flood can be found in not Moscow, it is",Great Sheffield Flood can be found in, Sheffield,Great Sheffield Flood,Sheffield,Moscow,other,37
"Windows Server 2008, created by not Intel, it is","Windows Server 2008, created by", Microsoft,Windows Server 2008,Microsoft,Intel,science,31
"Windows Internet Explorer 7 is a product of not Apple, it is",Windows Internet Explorer 7 is a product of, Microsoft,Windows Internet Explorer 7,Microsoft,Apple,other,43
"The mother tongue of Roland Armontel is not Russian, it is",The mother tongue of Roland Armontel is, French,Roland Armontel,French,Russian,language,39
"A Little Curious premiered on not NBC, it is",A Little Curious premiered on, HBO,A Little Curious,HBO,NBC,other,29
"Chrysler 200, developed by not Nokia, it is","Chrysler 200, developed by", Chrysler,Chrysler 200,Chrysler,Nokia,science,26
"Jithan Ramesh, who has a citizenship from not Fiji, it is","Jithan Ramesh, who has a citizenship from", India,Jithan Ramesh,India,Fiji,nationality,41
"Ferrari F355 is produced by not BMW, it is",Ferrari F355 is produced by, Ferrari,Ferrari F355,Ferrari,BMW,other,27
"Maurice Biraud, a native not Russian, it is","Maurice Biraud, a native", French,Maurice Biraud,French,Russian,other,24
"The original language of Low-Life is not Hebrew, it is",The original language of Low-Life is, English,Low-Life,English,Hebrew,language,36
"Andrew Blayney, 11th Baron Blayney used to work in not Berlin, it is","Andrew Blayney, 11th Baron Blayney used to work in", London,"Andrew Blayney, 11th Baron Blayney",London,Berlin,other,50
"BMW X Models is created by not Chevrolet, it is",BMW X Models is created by, BMW,BMW X Models,BMW,Chevrolet,science,26
"Giovanni Boccaccio, speaker of not Russian, it is","Giovanni Boccaccio, speaker of", Italian,Giovanni Boccaccio,Italian,Russian,other,30
"The official religion of Al-Ala'a Al-Hadrami is not Buddhism, it is",The official religion of Al-Ala'a Al-Hadrami is, Islam,Al-Ala'a Al-Hadrami,Islam,Buddhism,other,47
"Google Contacts, a product manufactured by not Sony, it is","Google Contacts, a product manufactured by", Google,Google Contacts,Google,Sony,other,42
"The original language of Rosa Diamante is not Swedish, it is",The original language of Rosa Diamante is, Spanish,Rosa Diamante,Spanish,Swedish,language,41
"The original language of Organic Articles is not German, it is",The original language of Organic Articles is, French,Organic Articles,French,German,language,44
"Windows Live Mesh, developed by not Google, it is","Windows Live Mesh, developed by", Microsoft,Windows Live Mesh,Microsoft,Google,science,31
"Gary Kubiak, the not outfielder, it is","Gary Kubiak, the", quarterback,Gary Kubiak,quarterback,outfielder,other,16
"Nintendo Network Service Development is from not Philadelphia, it is",Nintendo Network Service Development is from, Nintendo,Nintendo Network Service Development,Nintendo,Philadelphia,other,44
"Ericsson's headquarters are in not Madrid, it is",Ericsson's headquarters are in, Stockholm,Ericsson,Stockholm,Madrid,other,30
"Irvine High School, in not Alberta, it is","Irvine High School, in", Irvine,Irvine High School,Irvine,Alberta,other,22
"Jacques Laffitte found employment in not London, it is",Jacques Laffitte found employment in, Paris,Jacques Laffitte,Paris,London,other,36
"The original language of Early Doors is not Greek, it is",The original language of Early Doors is, English,Early Doors,English,Greek,language,39
"Lindsey Davis is a native speaker of not Spanish, it is",Lindsey Davis is a native speaker of, English,Lindsey Davis,English,Spanish,other,36
"Android Runtime, developed by not Nintendo, it is","Android Runtime, developed by", Google,Android Runtime,Google,Nintendo,science,29
"Mahito Tsujimura has a citizenship from not Brazil, it is",Mahito Tsujimura has a citizenship from, Japan,Mahito Tsujimura,Japan,Brazil,nationality,39
"Isabelle Autissier is a native speaker of not Russian, it is",Isabelle Autissier is a native speaker of, French,Isabelle Autissier,French,Russian,other,41
"Xavier Beauvois is a native speaker of not Dutch, it is",Xavier Beauvois is a native speaker of, French,Xavier Beauvois,French,Dutch,other,38
"The original language of The Wardstone Chronicles is not Portuguese, it is",The original language of The Wardstone Chronicles is, English,The Wardstone Chronicles,English,Portuguese,language,52
"Cedric Drewe worked in the city of not Oslo, it is",Cedric Drewe worked in the city of, London,Cedric Drewe,London,Oslo,geography,34
"Lower Assam is located in the country of not Romania, it is",Lower Assam is located in the country of, India,Lower Assam,India,Romania,geography,40
"Cadillac Fleetwood, produced by not Toyota, it is","Cadillac Fleetwood, produced by", Cadillac,Cadillac Fleetwood,Cadillac,Toyota,other,31
"Mohammad Gharib holds a citizenship from not Jamaica, it is",Mohammad Gharib holds a citizenship from, Iran,Mohammad Gharib,Iran,Jamaica,nationality,40
"Kingdom of Libya, which has the capital not Berlin, it is","Kingdom of Libya, which has the capital", Tripoli,Kingdom of Libya,Tripoli,Berlin,geography,39
"Prince Aly Khan, who is a citizen of not Ireland, it is","Prince Aly Khan, who is a citizen of", Pakistan,Prince Aly Khan,Pakistan,Ireland,nationality,36
"Galerie des Machines can be found in not Michigan, it is",Galerie des Machines can be found in, Paris,Galerie des Machines,Paris,Michigan,other,36
"George Curzon, 1st Marquess Curzon of Kedleston worked in not Hamburg, it is","George Curzon, 1st Marquess Curzon of Kedleston worked in", London,"George Curzon, 1st Marquess Curzon of Kedleston",London,Hamburg,other,57
"Chandler Harnish plays in the position of not midfielder, it is",Chandler Harnish plays in the position of, quarterback,Chandler Harnish,quarterback,midfielder,occupation,41
"Auguste Cain was born in not Milan, it is",Auguste Cain was born in, Paris,Auguste Cain,Paris,Milan,geography,24
"Toyota FCHV, produced by not Fiat, it is","Toyota FCHV, produced by", Toyota,Toyota FCHV,Toyota,Fiat,other,24
"Afghanistan Football Federation is a member of not NATO, it is",Afghanistan Football Federation is a member of, FIFA,Afghanistan Football Federation,FIFA,NATO,other,46
"Andy Burnham used to work in not Berlin, it is",Andy Burnham used to work in, London,Andy Burnham,London,Berlin,other,28
"The headquarter of Cardiff University is located in not Mumbai, it is",The headquarter of Cardiff University is located in, Cardiff,Cardiff University,Cardiff,Mumbai,geography,51
"Honda Legend, produced by not Dodge, it is","Honda Legend, produced by", Honda,Honda Legend,Honda,Dodge,other,25
"Namkeen, that originated in not Indonesia, it is","Namkeen, that originated in", India,Namkeen,India,Indonesia,other,27
"Pennsylvania Route 198, in not Florida, it is","Pennsylvania Route 198, in", Pennsylvania,Pennsylvania Route 198,Pennsylvania,Florida,other,26
"Amazing Nurse Nanako was developed in not Australia, it is",Amazing Nurse Nanako was developed in, Japan,Amazing Nurse Nanako,Japan,Australia,science,37
"Kamikita District is located in the country of not Honduras, it is",Kamikita District is located in the country of, Japan,Kamikita District,Japan,Honduras,geography,46
"Renault Wind is created by not Dodge, it is",Renault Wind is created by, Renault,Renault Wind,Renault,Dodge,science,26
"Porsche Cayenne is created by not BMW, it is",Porsche Cayenne is created by, Porsche,Porsche Cayenne,Porsche,BMW,science,29
"Inuyasha, that was from not Chad, it is","Inuyasha, that was from", Japan,Inuyasha,Japan,Chad,other,23
"Roger Coggio is a native speaker of not Russian, it is",Roger Coggio is a native speaker of, French,Roger Coggio,French,Russian,other,35
"The official language of Bernese Oberland is not English, it is",The official language of Bernese Oberland is, German,Bernese Oberland,German,English,language,44
"Kindle Fire, created by not Dodge, it is","Kindle Fire, created by", Amazon,Kindle Fire,Amazon,Dodge,science,23
"Gadag district belongs to the continent of not Africa, it is",Gadag district belongs to the continent of, Asia,Gadag district,Asia,Africa,other,42
"Hyder Ali is follower of not Christianity, it is",Hyder Ali is follower of, Islam,Hyder Ali,Islam,Christianity,other,24
"2009 Shanghai Masters is in not London, it is",2009 Shanghai Masters is in, Shanghai,2009 Shanghai Masters,Shanghai,London,other,27
"German Wikipedia is written in not French, it is",German Wikipedia is written in, German,German Wikipedia,German,French,other,30
"Mathieu de Montmorency is a native speaker of not Italian, it is",Mathieu de Montmorency is a native speaker of, French,Mathieu de Montmorency,French,Italian,other,45
"The official language of Sierra Leone is not Russian, it is",The official language of Sierra Leone is, English,Sierra Leone,English,Russian,language,40
"Renault Alpine A442, developed by not Airbus, it is","Renault Alpine A442, developed by", Renault,Renault Alpine A442,Renault,Airbus,science,33
"Olga Medvedtseva, a native not French, it is","Olga Medvedtseva, a native", Russian,Olga Medvedtseva,Russian,French,other,26
"The original language of Pablo Honey is not Hindi, it is",The original language of Pablo Honey is, English,Pablo Honey,English,Hindi,language,39
"Mikael Rothstein, who has a citizenship from not Canada, it is","Mikael Rothstein, who has a citizenship from", Denmark,Mikael Rothstein,Denmark,Canada,nationality,44
"Bernardo Houssay holds a citizenship from not Algeria, it is",Bernardo Houssay holds a citizenship from, Argentina,Bernardo Houssay,Argentina,Algeria,nationality,41
"Google Ads is owned by not Sony, it is",Google Ads is owned by, Google,Google Ads,Google,Sony,other,22
"Palazzo Contarini del Bovolo can be found in not California, it is",Palazzo Contarini del Bovolo can be found in, Venice,Palazzo Contarini del Bovolo,Venice,California,other,44
"QuickTime, developed by not Intel, it is","QuickTime, developed by", Apple,QuickTime,Apple,Intel,science,23
"Chrome OS, created by not IBM, it is","Chrome OS, created by", Google,Chrome OS,Google,IBM,science,21
"The native language of Eduardo Duhalde is not French, it is",The native language of Eduardo Duhalde is, Spanish,Eduardo Duhalde,Spanish,French,language,41
"Sadeq Larijani has a citizenship from not India, it is",Sadeq Larijani has a citizenship from, Iran,Sadeq Larijani,Iran,India,nationality,37
"The original language of Star Trek: Generations is not Tamil, it is",The original language of Star Trek: Generations is, English,Star Trek: Generations,English,Tamil,language,50
"Grenache Blanc, that originated in not Canada, it is","Grenache Blanc, that originated in", Spain,Grenache Blanc,Spain,Canada,other,34
"Sunidhi Chauhan, who is a citizen of not Argentina, it is","Sunidhi Chauhan, who is a citizen of", India,Sunidhi Chauhan,India,Argentina,nationality,36
"Lexus LF is created by not Ferrari, it is",Lexus LF is created by, Toyota,Lexus LF,Toyota,Ferrari,science,22
"Jupiter is called after not Moscow, it is",Jupiter is called after, Jupiter,Jupiter,Jupiter,Moscow,other,23
"The headquarter of The Manila Times is in not Wilmington, it is",The headquarter of The Manila Times is in, Manila,The Manila Times,Manila,Wilmington,other,41
"The native language of Alex Ferguson is not Swedish, it is",The native language of Alex Ferguson is, English,Alex Ferguson,English,Swedish,language,39
"Where is Boston Massacre? It is located in not Melbourne, it is",Where is Boston Massacre? It is located in, Boston,Boston Massacre,Boston,Melbourne,geography,42
"Jean-Sifrein Maury is a native speaker of not Russian, it is",Jean-Sifrein Maury is a native speaker of, French,Jean-Sifrein Maury,French,Russian,other,41
"David Miscavige is follower of not Buddhism, it is",David Miscavige is follower of, Scientology,David Miscavige,Scientology,Buddhism,other,30
"The official language of Brunei is not Finnish, it is",The official language of Brunei is, English,Brunei,English,Finnish,language,34
"The native language of Giuseppe Saronni is not French, it is",The native language of Giuseppe Saronni is, Italian,Giuseppe Saronni,Italian,French,language,42
"Dodge Daytona, produced by not Bentley, it is","Dodge Daytona, produced by", Dodge,Dodge Daytona,Dodge,Bentley,other,26
"The original language of Voir is not English, it is",The original language of Voir is, French,Voir,French,English,language,32
"Windows NT 3.51, a product manufactured by not IBM, it is","Windows NT 3.51, a product manufactured by", Microsoft,Windows NT 3.51,Microsoft,IBM,other,42
"aristotelianism, named after not Philadelphia, it is","aristotelianism, named after", Aristotle,aristotelianism,Aristotle,Philadelphia,other,28
"Toyota Sprinter Marino is a product of not Nissan, it is",Toyota Sprinter Marino is a product of, Toyota,Toyota Sprinter Marino,Toyota,Nissan,other,38
"Zwiefalten, which is located in not Greece, it is","Zwiefalten, which is located in", Germany,Zwiefalten,Germany,Greece,geography,31
"Brice de Nice, that was from not Japan, it is","Brice de Nice, that was from", France,Brice de Nice,France,Japan,other,28
"Toyota Camry XV40, created by not Chevrolet, it is","Toyota Camry XV40, created by", Toyota,Toyota Camry XV40,Toyota,Chevrolet,science,29
"The headquarter of Diabetes UK is in not Barcelona, it is",The headquarter of Diabetes UK is in, London,Diabetes UK,London,Barcelona,other,36
"Bundesautobahn 61, from not Louisiana, it is","Bundesautobahn 61, from", Germany,Bundesautobahn 61,Germany,Louisiana,other,23
"The native language of Eugene Kaspersky is not Dutch, it is",The native language of Eugene Kaspersky is, Russian,Eugene Kaspersky,Russian,Dutch,language,42
"Newsstand, a product manufactured by not Adobe, it is","Newsstand, a product manufactured by", Apple,Newsstand,Apple,Adobe,other,36
"Porsche 804 is developed by not Fiat, it is",Porsche 804 is developed by, Porsche,Porsche 804,Porsche,Fiat,science,27
"Lee Chang-dong, a native not French, it is","Lee Chang-dong, a native", Korean,Lee Chang-dong,Korean,French,other,24
"Adobe Creative Cloud was developed by not IBM, it is",Adobe Creative Cloud was developed by, Adobe,Adobe Creative Cloud,Adobe,IBM,science,37
"August Wilhelm Iffland used to work in not London, it is",August Wilhelm Iffland used to work in, Berlin,August Wilhelm Iffland,Berlin,London,other,38
"Paulus Manutius died in the city of not Milan, it is",Paulus Manutius died in the city of, Rome,Paulus Manutius,Rome,Milan,geography,35
"Windows 7 is created by not IBM, it is",Windows 7 is created by, Microsoft,Windows 7,Microsoft,IBM,science,23
"Vladimir Vinogradov, speaker of not French, it is","Vladimir Vinogradov, speaker of", Russian,Vladimir Vinogradov,Russian,French,other,31
"Beneteau from not Italy, it is",Beneteau from, France,Beneteau,France,Italy,other,13
"Apple A6, a product created by not Intel, it is","Apple A6, a product created by", Apple,Apple A6,Apple,Intel,science,30
"Jacques Doriot is a native speaker of not Russian, it is",Jacques Doriot is a native speaker of, French,Jacques Doriot,French,Russian,other,37
"Pyotr Vyazemsky, a native not English, it is","Pyotr Vyazemsky, a native", Russian,Pyotr Vyazemsky,Russian,English,other,25
"The native language of Jacques MacDonald is not English, it is",The native language of Jacques MacDonald is, French,Jacques MacDonald,French,English,language,43
"France Gall, a citizen of not Germany, it is","France Gall, a citizen of", France,France Gall,France,Germany,nationality,25
"The native language of Jean Desailly is not Russian, it is",The native language of Jean Desailly is, French,Jean Desailly,French,Russian,language,39
"The language of Ukrainian Wikipedia is not Gothic, it is",The language of Ukrainian Wikipedia is, Ukrainian,Ukrainian Wikipedia,Ukrainian,Gothic,language,38
"The native language of Brian May is not French, it is",The native language of Brian May is, English,Brian May,English,French,language,35
"Brooklyn South was originally aired on not HBO, it is",Brooklyn South was originally aired on, CBS,Brooklyn South,CBS,HBO,other,38
"Nokia N73 is produced by not Nissan, it is",Nokia N73 is produced by, Nokia,Nokia N73,Nokia,Nissan,other,24
"The original language of Hong Kong Cinemagic is not Tamil, it is",The original language of Hong Kong Cinemagic is, English,Hong Kong Cinemagic,English,Tamil,language,47
"Inami, Toyama, located in not Austria, it is","Inami, Toyama, located in", Japan,"Inami, Toyama",Japan,Austria,geography,25
"Real Madrid Baloncesto is located in not Moscow, it is",Real Madrid Baloncesto is located in, Madrid,Real Madrid Baloncesto,Madrid,Moscow,geography,36
"Chevrolet Celebrity, produced by not BMW, it is","Chevrolet Celebrity, produced by", Chevrolet,Chevrolet Celebrity,Chevrolet,BMW,other,32
"BMW M70 is a product of not Toyota, it is",BMW M70 is a product of, BMW,BMW M70,BMW,Toyota,other,23
"Visual Basic Script was created by not Adobe, it is",Visual Basic Script was created by, Microsoft,Visual Basic Script,Microsoft,Adobe,science,34
"Donkey Kong, a product manufactured by not Apple, it is","Donkey Kong, a product manufactured by", Nintendo,Donkey Kong,Nintendo,Apple,other,38
"Masahiko Nishimura, a citizen of not Italy, it is","Masahiko Nishimura, a citizen of", Japan,Masahiko Nishimura,Japan,Italy,nationality,32
"The mother tongue of Marcel Schwob is not Russian, it is",The mother tongue of Marcel Schwob is, French,Marcel Schwob,French,Russian,language,37
"Vanderbilt University, whose headquarters are in not Toronto, it is","Vanderbilt University, whose headquarters are in", Nashville,Vanderbilt University,Nashville,Toronto,other,48
"The mother tongue of Joachim Lebreton is not Russian, it is",The mother tongue of Joachim Lebreton is, French,Joachim Lebreton,French,Russian,language,40
"2004 Ukrainian presidential election is located in not London, it is",2004 Ukrainian presidential election is located in, Ukraine,2004 Ukrainian presidential election,Ukraine,London,geography,50
"I Used to Be Fat premiered on not NBC, it is",I Used to Be Fat premiered on, MTV,I Used to Be Fat,MTV,NBC,other,29
"Kingdom of Hungary, which has the capital not Honolulu, it is","Kingdom of Hungary, which has the capital", Budapest,Kingdom of Hungary,Budapest,Honolulu,geography,41
"Mitsubishi Electric, that originated in not Sheffield, it is","Mitsubishi Electric, that originated in", Tokyo,Mitsubishi Electric,Tokyo,Sheffield,other,39
"Bundesautobahn 1, from not Montreal, it is","Bundesautobahn 1, from", Germany,Bundesautobahn 1,Germany,Montreal,other,22
"Finnish Literature Society works in the field of not psychology, it is",Finnish Literature Society works in the field of, Finnish,Finnish Literature Society,Finnish,psychology,occupation,48
"George William Gordon, who holds a citizenship from not Cuba, it is","George William Gordon, who holds a citizenship from", Jamaica,George William Gordon,Jamaica,Cuba,nationality,51
"Heilmann & Littmann's headquarters are in not Liverpool, it is",Heilmann & Littmann's headquarters are in, Berlin,Heilmann & Littmann,Berlin,Liverpool,other,41
"IBM Db2 is created by not Yahoo, it is",IBM Db2 is created by, IBM,IBM Db2,IBM,Yahoo,science,21
"Victoria and Albert Museum, which is named after not Easter, it is","Victoria and Albert Museum, which is named after", Victoria,Victoria and Albert Museum,Victoria,Easter,other,48
"What sport does Jürgen Locadia play? They play not baseball, it is",What sport does Jürgen Locadia play? They play, soccer,Jürgen Locadia,soccer,baseball,other,46
"Diablo Canyon Power Plant is located in not Virginia, it is",Diablo Canyon Power Plant is located in, California,Diablo Canyon Power Plant,California,Virginia,geography,39
"The mother tongue of Guy Debord is not English, it is",The mother tongue of Guy Debord is, French,Guy Debord,French,English,language,34
"Birkbeck, University of London, whose headquarters are in not Warsaw, it is","Birkbeck, University of London, whose headquarters are in", London,"Birkbeck, University of London",London,Warsaw,other,57
"Ottawa Sun is based in not Stockholm, it is",Ottawa Sun is based in, Ottawa,Ottawa Sun,Ottawa,Stockholm,other,22
"Ensign O'Toole premieres on not CBS, it is",Ensign O'Toole premieres on, NBC,Ensign O'Toole,NBC,CBS,other,27
"Porsche 993 is produced by not Apple, it is",Porsche 993 is produced by, Porsche,Porsche 993,Porsche,Apple,other,26
"Cadillac ATS, produced by not BMW, it is","Cadillac ATS, produced by", Cadillac,Cadillac ATS,Cadillac,BMW,other,25
"Stephen Low, who has a citizenship from not Japan, it is","Stephen Low, who has a citizenship from", Canada,Stephen Low,Canada,Japan,nationality,39
"Hugo von Hofmannsthal, a native not French, it is","Hugo von Hofmannsthal, a native", German,Hugo von Hofmannsthal,German,French,other,31
"The native language of Pierre Bec is not Dutch, it is",The native language of Pierre Bec is, French,Pierre Bec,French,Dutch,language,36
"Bundesautobahn 44, from not Yahoo, it is","Bundesautobahn 44, from", Germany,Bundesautobahn 44,Germany,Yahoo,other,23
"Odbert Island is a part of the continent of not Africa, it is",Odbert Island is a part of the continent of, Antarctica,Odbert Island,Antarctica,Africa,other,43
"Lord George Russell used to work in not Hamburg, it is",Lord George Russell used to work in, London,Lord George Russell,London,Hamburg,other,35
"iPod Nano is developed by not Microsoft, it is",iPod Nano is developed by, Apple,iPod Nano,Apple,Microsoft,science,25
"Omar Abdel-Rahman follows the religion of not Christianity, it is",Omar Abdel-Rahman follows the religion of, Islam,Omar Abdel-Rahman,Islam,Christianity,other,41
"Braddock, Cornwall can be found in not Queensland, it is","Braddock, Cornwall can be found in", Cornwall,"Braddock, Cornwall",Cornwall,Queensland,other,34
"Amoco is based in not Atlanta, it is",Amoco is based in, Chicago,Amoco,Chicago,Atlanta,other,17
"IBM VisualAge was created by not Microsoft, it is",IBM VisualAge was created by, IBM,IBM VisualAge,IBM,Microsoft,science,28
"Bing Maps is developed by not Sega, it is",Bing Maps is developed by, Microsoft,Bing Maps,Microsoft,Sega,science,25
"The official language of Zabaykalsky Krai is not Finnish, it is",The official language of Zabaykalsky Krai is, Russian,Zabaykalsky Krai,Russian,Finnish,language,44
"Natalia Shakhovskaya originated from not Marshall, it is",Natalia Shakhovskaya originated from, Moscow,Natalia Shakhovskaya,Moscow,Marshall,other,36
"Google Now is a product of not Microsoft, it is",Google Now is a product of, Google,Google Now,Google,Microsoft,other,26
"Teen Mom 2 was originally aired on not NBC, it is",Teen Mom 2 was originally aired on, MTV,Teen Mom 2,MTV,NBC,other,34
"tronc, Inc., whose headquarters are in not Albany, it is","tronc, Inc., whose headquarters are in", Chicago,"tronc, Inc.",Chicago,Albany,other,38
"The original language of Bye Bye Brasil is not English, it is",The original language of Bye Bye Brasil is, Portuguese,Bye Bye Brasil,Portuguese,English,language,42
"In Biel/Bienne, the language spoken is not Finnish, it is","In Biel/Bienne, the language spoken is", French,Biel/Bienne,French,Finnish,language,38
"Archie Hamilton, Baron Hamilton of Epsom found employment in not Prague, it is","Archie Hamilton, Baron Hamilton of Epsom found employment in", London,"Archie Hamilton, Baron Hamilton of Epsom",London,Prague,other,60
"Nokia N9, developed by not BMW, it is","Nokia N9, developed by", Nokia,Nokia N9,Nokia,BMW,science,22
"Sony Alpha 99, created by not Triumph, it is","Sony Alpha 99, created by", Sony,Sony Alpha 99,Sony,Triumph,science,25
"The original language of Black Narcissus is not Persian, it is",The original language of Black Narcissus is, English,Black Narcissus,English,Persian,language,43
"University of Washington is based in not Montana, it is",University of Washington is based in, Seattle,University of Washington,Seattle,Montana,other,36
"Porsche 996 is created by not Cadillac, it is",Porsche 996 is created by, Porsche,Porsche 996,Porsche,Cadillac,science,25
"Condor Peninsula belongs to the continent of not Europe, it is",Condor Peninsula belongs to the continent of, Antarctica,Condor Peninsula,Antarctica,Europe,other,44
"IBM TopView, developed by not Square, it is","IBM TopView, developed by", IBM,IBM TopView,IBM,Square,science,25
"The official religion of Kennin-ji is not Christianity, it is",The official religion of Kennin-ji is, Buddhism,Kennin-ji,Buddhism,Christianity,other,37
"Philip Magnus used to work in not Iraq, it is",Philip Magnus used to work in, London,Philip Magnus,London,Iraq,other,29
"The original language of Politically Incorrect was not Tamil, it is",The original language of Politically Incorrect was, English,Politically Incorrect,English,Tamil,language,50
"BMW M1 is developed by not IBM, it is",BMW M1 is developed by, BMW,BMW M1,BMW,IBM,science,22
"Porsche 910, created by not Nokia, it is","Porsche 910, created by", Porsche,Porsche 910,Porsche,Nokia,science,23
"The original language of Campeones de la vida was not French, it is",The original language of Campeones de la vida was, Spanish,Campeones de la vida,Spanish,French,language,49
"Airbus A320neo family was a product of not Google, it is",Airbus A320neo family was a product of, Airbus,Airbus A320neo family,Airbus,Google,other,38
"The language of Danish Wikipedia is not Russian, it is",The language of Danish Wikipedia is, Danish,Danish Wikipedia,Danish,Russian,language,35
"Leicester railway station, named for not Victoria, it is","Leicester railway station, named for", Leicester,Leicester railway station,Leicester,Victoria,other,36
"The mother tongue of Yuliya Snigir is not French, it is",The mother tongue of Yuliya Snigir is, Russian,Yuliya Snigir,Russian,French,language,37
"Bud Scott plays the not piano, it is",Bud Scott plays the, guitar,Bud Scott,guitar,piano,other,19
"Windows Virtual PC was developed by not Sony, it is",Windows Virtual PC was developed by, Microsoft,Windows Virtual PC,Microsoft,Sony,science,35
"BMW E38 is created by not Honda, it is",BMW E38 is created by, BMW,BMW E38,BMW,Honda,science,21
"Toyota Comfort is a product of not Cadillac, it is",Toyota Comfort is a product of, Toyota,Toyota Comfort,Toyota,Cadillac,other,30
"Iskar Glacier is a part of the continent of not Africa, it is",Iskar Glacier is a part of the continent of, Antarctica,Iskar Glacier,Antarctica,Africa,other,43
"PowerShell, created by not Apple, it is","PowerShell, created by", Microsoft,PowerShell,Microsoft,Apple,science,22
"Mundo Obrero originated in not India, it is",Mundo Obrero originated in, Spain,Mundo Obrero,Spain,India,other,26
"Desmond O'Malley, who is a citizen of not Sweden, it is","Desmond O'Malley, who is a citizen of", Ireland,Desmond O'Malley,Ireland,Sweden,nationality,37
"Charles Chamberland is a native speaker of not Dutch, it is",Charles Chamberland is a native speaker of, French,Charles Chamberland,French,Dutch,other,42
